latitude,longitude,nbr of bikes,station name,city,company name
45.51689731423111,-73.58910799026489,10,Parc Jeanne-Mance (du Mont-Royal / du Parc),"Montréal, QC","Motivate International, Inc."
45.472051276471305,-73.5827162861824,20,Léa-Roback / Sir-Georges-Etienne-Cartier,"Montréal, QC","Motivate International, Inc."
45.59253950875074,-73.64874824881554,8,Parc Eusèbe-Ménard (Gouin / St-Vital),"Montréal, QC","Motivate International, Inc."
45.51586835126322,-73.56008380651474,3,St-Hubert / de Maisonneuve (sud),"Montréal, QC","Motivate International, Inc."
45.55969734528566,-73.60145956277847,6,CHSLD Joseph-François-Perrault (St-Michel / Everett),"Montréal, QC","Motivate International, Inc."
45.50682415585665,-73.68184804916382,10,Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),"Montréal, QC","Motivate International, Inc."
45.50265866521738,-73.52753520011902,2,Parc Plage,"Montréal, QC","Motivate International, Inc."
45.52374047147138,-73.67169924080372,6,Gare Montpellier (Muir / de la Côte-Vertu),"Montréal, QC","Motivate International, Inc."
45.52814371649508,-73.69254536926746,10,Gare du Ruisseau (Dutrisac / Henri-Bourassa),"Montréal, QC","Motivate International, Inc."
45.512843286755896,-73.67612421512604,0,Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),"Montréal, QC","Motivate International, Inc."
45.557568,-73.579191,5,CHSLD Robert Cliche (de Bellechasse / 16e avenue),"Montréal, QC","Motivate International, Inc."
45.58116,-73.6412434,12,Parc Ottawa (de Belleville / Fleury),"Montréal, QC","Motivate International, Inc."
45.55463653358596,-73.61255215771962,3,Parc Nicolas-Tillemont (des Érables / Villeray),"Montréal, QC","Motivate International, Inc."
45.563084167155345,-73.5481941328544,8,Métro Viau (Viau / Pierre-de-Coubertin),"Montréal, QC","Motivate International, Inc."
45.6391233,-73.5961118,5,Parc Armand-Bombardier (Perras / Armand-Bombardier),"Montréal, QC","Motivate International, Inc."
45.55774990838239,-73.58380123972893,2,Collège de Rosemont (Beaubien / 15e avenue),"Montréal, QC","Motivate International, Inc."
45.50277615861811,-73.57589408755302,1,McTavish / Sherbrooke,"Montréal, QC","Motivate International, Inc."
45.507096455662456,-73.56844156980515,19,de Bleury / de Maisonneuve,"Montréal, QC","Motivate International, Inc."
45.505173440423306,-73.5706517100334,1,de Maisonneuve / Aylmer (ouest),"Montréal, QC","Motivate International, Inc."
45.54365380040509,-73.55942063033581,5,Préfontaine / Marcel-Pépin,"Montréal, QC","Motivate International, Inc."
45.48952522221574,-73.5844581949641,6,Métro Atwater (Atwater / Ste-Catherine),"Montréal, QC","Motivate International, Inc."
45.566883091095185,-73.53943817317486,12,Hochelaga / de l'Assomption,"Montréal, QC","Motivate International, Inc."
45.5169025120042,-73.52724552154541,16,Bassin olympique (Chemin du Chenal le Moyne),"Montréal, QC","Motivate International, Inc."
45.5864002,-73.5952181,9,Parc Wilfrid-Bastien (Lacordaire / des Galets),"Montréal, QC","Motivate International, Inc."
45.54710313981358,-73.54892447590828,5,de Chambly / de Rouen,"Montréal, QC","Motivate International, Inc."
45.51601387670667,-73.56291957199574,7,BAnQ (Berri),"Montréal, QC","Motivate International, Inc."
45.63131269772338,-73.61631497740746,11,Parc Ernest-Rouleau (Gouin),"Montréal, QC","Motivate International, Inc."
45.49624140543275,-73.62983867526054,12,Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),"Montréal, QC","Motivate International, Inc."
45.50398168549117,-73.62283945083618,6,CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),"Montréal, QC","Motivate International, Inc."
